titulo,url,len_titulo
Aprueban la primera Política Nacional de Cultura del Perú,https://www.gob.pe/institucion/cultura/noticias/213929-aprueban-la-primera-politica-nacional-de-cultura-del-peru,57
Ministerio de Cultura otorga Personalidad Meritoria de la Cultura a la agrupación Los Mirlos de Moyobamba,https://www.gob.pe/institucion/cultura/noticias/1334193-ministerio-de-cultura-otorga-personalidad-meritoria-de-la-cultura-a-la-agrupacion-los-mirlos-de-moyobamba,105
Se suspende temporalmente el ingreso al Parque Arqueológico de Choquequirao desde el 1 de febrero de 2026,https://www.gob.pe/institucion/cultura/noticias/1334661-se-suspende-temporalmente-el-ingreso-al-parque-arqueologico-de-choquequirao-desde-el-1-de-febrero-de-2026,105
Museo Tumbas Reales de Sipán alcanza récord histórico con más de 191 mil visitantes en 2025,https://www.gob.pe/institucion/cultura/noticias/1333395-museo-tumbas-reales-de-sipan-alcanza-record-historico-con-mas-de-191-mil-visitantes-en-2025,91
Museos e investigación arqueológica en Lambayeque cuentan este 2026 con un presupuesto inicial superior a los de S/ 20 millones,https://www.gob.pe/institucion/cultura/noticias/1337293-museos-e-investigacion-arqueologica-en-lambayeque-cuentan-este-2026-con-un-presupuesto-inicial-superior-a-los-de-s-20-millones,127
Ministerio de Cultura inicia nueva fase de investigación y conservación en el Parque Nacional del Río Abiseo y el Gran Pajatén,https://www.gob.pe/institucion/cultura/noticias/1337323-ministerio-de-cultura-inicia-nueva-fase-de-investigacion-y-conservacion-en-el-parque-nacional-del-rio-abiseo-y-el-gran-pajaten,126
Latina IberCultura Viva abre la Convocatoria de Movilidad 2026,https://www.gob.pe/institucion/cultura/noticias/1337290-latina-ibercultura-viva-abre-la-convocatoria-de-movilidad-2026,62
Puno: Paisaje Cultural Cuyocuyo cumple cinco años como Patrimonio Cultural de la Nación,https://www.gob.pe/institucion/cultura/noticias/1334529-puno-paisaje-cultural-cuyocuyo-cumple-cinco-anos-como-patrimonio-cultural-de-la-nacion,87
Ministerio de Cultura crea Grupo de Trabajo Multisectorial para proteger y recuperar el Complejo Arqueológico de Chan Chan,https://www.gob.pe/institucion/cultura/noticias/1336450-ministerio-de-cultura-crea-grupo-de-trabajo-multisectorial-para-proteger-y-recuperar-el-complejo-arqueologico-de-chan-chan,122
Gobierno y autoridades del Cusco articulan acciones para fortalecer el acceso y la continuidad del servicio turístico hacia Machupicchu,https://www.gob.pe/institucion/cultura/noticias/1335282-gobierno-y-autoridades-del-cusco-articulan-acciones-para-fortalecer-el-acceso-y-la-continuidad-del-servicio-turistico-hacia-machupicchu,135
Ministerio de Cultura culmina proyecto de investigación y conservación en el Monumento Arqueológico Chavín para garantizar su preservación,https://www.gob.pe/institucion/cultura/noticias/1334667-ministerio-de-cultura-culmina-proyecto-de-investigacion-y-conservacion-en-el-monumento-arqueologico-chavin-para-garantizar-su-preservacion,138
Ministerio de Cultura entregó distinción de Personalidad Meritoria de la Cultura a emblemática agrupación Los Mirlos de Moyobamba,https://www.gob.pe/institucion/cultura/noticias/1335057-ministerio-de-cultura-entrego-distincion-de-personalidad-meritoria-de-la-cultura-a-emblematica-agrupacion-los-mirlos-de-moyobamba,129
Se suspende temporalmente el ingreso al Parque Arqueológico de Choquequirao desde el 1 de febrero de 2026,https://www.gob.pe/institucion/cultura/noticias/1334661-se-suspende-temporalmente-el-ingreso-al-parque-arqueologico-de-choquequirao-desde-el-1-de-febrero-de-2026,105
Niñas y niños de la región San Martín fortalecen su identidad regional a través del arte y la mitología amazónica,https://www.gob.pe/institucion/cultura/noticias/1334554-ninas-y-ninos-de-la-region-san-martin-fortalecen-su-identidad-regional-a-traves-del-arte-y-la-mitologia-amazonica,113
Ministerio de Cultura otorga Personalidad Meritoria de la Cultura a la agrupación Los Mirlos de Moyobamba,https://www.gob.pe/institucion/cultura/noticias/1334193-ministerio-de-cultura-otorga-personalidad-meritoria-de-la-cultura-a-la-agrupacion-los-mirlos-de-moyobamba,105
Lambayeque: Ministerio de Cultura fortalece el diálogo intercultural con representantes del Museo Afroperuano en el distrito de Zaña,https://www.gob.pe/institucion/cultura/noticias/1333849-lambayeque-ministerio-de-cultura-fortalece-el-dialogo-intercultural-con-representantes-del-museo-afroperuano-en-el-distrito-de-zana,132
Ministerio de Cultura realizó agenda de trabajo como parte de la Intervención Multisectorial del Ejecutivo en el Callao,https://www.gob.pe/institucion/cultura/noticias/1333558-ministerio-de-cultura-realizo-agenda-de-trabajo-como-parte-de-la-intervencion-multisectorial-del-ejecutivo-en-el-callao,119
Museo Tumbas Reales de Sipán alcanza récord histórico con más de 191 mil visitantes en 2025,https://www.gob.pe/institucion/cultura/noticias/1333395-museo-tumbas-reales-de-sipan-alcanza-record-historico-con-mas-de-191-mil-visitantes-en-2025,91
Ministerio de Cultura impulsa acciones de protección en el área marina del Complejo Arqueológico El Huarco,https://www.gob.pe/institucion/cultura/noticias/1332092-ministerio-de-cultura-impulsa-acciones-de-proteccion-en-el-area-marina-del-complejo-arqueologico-el-huarco,106
Ministerio de Cultura verificó el estado de monumento histórico afectado por incendio en el Centro Histórico de Lima,https://www.gob.pe/institucion/cultura/noticias/1331407-ministerio-de-cultura-verifico-el-estado-de-monumento-historico-afectado-por-incendio-en-el-centro-historico-de-lima,116
LUM inauguró el programa permanente “Memorias afectivas: Diálogos para recordar 1980–2000”,https://www.gob.pe/institucion/cultura/noticias/1331323-lum-inauguro-el-programa-permanente-memorias-afectivas-dialogos-para-recordar-1980-2000,90
Ministerio de Cultura impulsa la creación de murales patrimoniales en el Centro Histórico de Arequipa,https://www.gob.pe/institucion/cultura/noticias/1331291-ministerio-de-cultura-impulsa-la-creacion-de-murales-patrimoniales-en-el-centro-historico-de-arequipa,101
Ministerio de Cultura invirtió cerca de S/ 7 millones para mejorar la infraestructura del Museo Nacional Sicán en Lambayeque,https://www.gob.pe/institucion/cultura/noticias/1331099-ministerio-de-cultura-invirtio-cerca-de-s-7-millones-para-mejorar-la-infraestructura-del-museo-nacional-sican-en-lambayeque,124
Ministerio de Cultura invita al público a visitar muestra colectiva de arte contemporáneo en la Sala José Sabogal de Trujillo,https://www.gob.pe/institucion/cultura/noticias/1331064-ministerio-de-cultura-invita-al-publico-a-visitar-muestra-colectiva-de-arte-contemporaneo-en-la-sala-jose-sabogal-de-trujillo,125
Ministerio de Cultura declara Patrimonio Cultural de la Nación a la Semana Santa de Contumazá,https://www.gob.pe/institucion/cultura/noticias/1331052-ministerio-de-cultura-declara-patrimonio-cultural-de-la-nacion-a-la-semana-santa-de-contumaza,93
Ministerio de Cultura impulsa el Taller de Verano “El Saber del Barro” en el Complejo Arqueológico Chan Chan,https://www.gob.pe/institucion/cultura/noticias/1330399-ministerio-de-cultura-impulsa-el-taller-de-verano-el-saber-del-barro-en-el-complejo-arqueologico-chan-chan,108
Sectores del Ejecutivo articulan intervención multisectorial de alto nivel a favor de los pueblos Awajún y Wampis,https://www.gob.pe/institucion/cultura/noticias/1330388-sectores-del-ejecutivo-articulan-intervencion-multisectorial-de-alto-nivel-a-favor-de-los-pueblos-awajun-y-wampis,113
UGM aprobó el Plan Maestro del Santuario Histórico de Machupicchu,https://www.gob.pe/institucion/cultura/noticias/1329870-ugm-aprobo-el-plan-maestro-del-santuario-historico-de-machupicchu,65
LUM dio inicio a Museos Abiertos 2026 con actividades culturales gratuitas para todo público,https://www.gob.pe/institucion/cultura/noticias/1329250-lum-dio-inicio-a-museos-abiertos-2026-con-actividades-culturales-gratuitas-para-todo-publico,92
